,name,company,year,Price,kms_driven,fuel_type
788,HyundaiEon,Hyundai,2018,260000,25000,Petrol
789,TataManza,Tata,2015,100000,100000,Diesel
790,ToyotaEtios,Toyota,2013,265000,42000,Petrol
791,HyundaiGetz,Hyundai,2009,115000,20000,Petrol
792,ToyotaQualis,Toyota,2003,180000,100000,Diesel
793,HyundaiSantro,Hyundai,2004,45000,137495,Petrol
794,TataIndica,Tata,2016,50500,91200,Diesel
795,HondaCity,Honda,2009,270000,55000,Petrol
796,TataZest,Tata,2017,290000,120000,Diesel
797,MahindraQuanto,Mahindra,2013,325000,63000,Diesel
798,TataIndigo,Tata,2016,160000,104000,Diesel
799,MarutiSuzuki,Maruti,2016,350000,146000,Diesel
800,HyundaiElite,Hyundai,2011,290000,40000,Petrol
801,Hyundaii20,Hyundai,2011,290000,40000,Petrol
802,ChevroletTavera,Chevrolet,2007,465000,100800,Diesel
803,MarutiSuzuki,Maruti,2016,325000,150000,Diesel
804,HyundaiElite,Hyundai,2018,510000,2100,Petrol
805,HondaCity,Honda,2016,860000,95000,Petrol
806,MarutiSuzuki,Maruti,2016,450000,2500,Diesel
807,HyundaiGetz,Hyundai,2006,125000,80000,Petrol
808,MercedesBenz,Mercedes,2006,500001,15000,Petrol
809,MarutiSuzuki,Maruti,2005,95000,65000,Petrol
810,MarutiSuzuki,Maruti,2009,250000,51000,Diesel
811,SkodaFabia,Skoda,2009,110000,45000,Petrol
812,MarutiSuzuki,Maruti,2011,270000,50000,Petrol
813,TataIndica,Tata,2009,110000,30000,Diesel
814,ToyotaCorolla,Toyota,2009,300000,132000,Petrol
815,TataZest,Tata,2018,260000,27000,Diesel
816,MahindraQuanto,Mahindra,2013,390000,40000,Diesel
